t_days,t_months,r,C,B,F_i,F_n,F_m,E,M,O
182.64,6,2.457070707,2.190470156,0.08989263801,0.8095610537,0.1860167314,0.00511941558,0.08695215122,0.9821522926,0.2693629986
182.64,6,2.505050505,2.190468292,0.08989253969,0.8095613169,0.1860167749,0.005119425631,0.08695215118,0.9821522922,0.2693702076
182.64,6,2.553030303,2.190466509,0.08989243985,0.8095615827,0.1860168188,0.005119435792,0.08695215115,0.9821522917,0.2693775629
182.64,6,2.601010101,2.190464804,0.08989233847,0.8095618507,0.1860168628,0.005119446053,0.08695215112,0.9821522913,0.2693850643
182.64,6,2.648989899,2.190463173,0.08989223557,0.8095621209,0.186016907,0.005119456407,0.08695215111,0.9821522909,0.2693927118
182.64,6,2.696969697,2.190461611,0.08989213115,0.8095623929,0.1860169514,0.005119466846,0.08695215109,0.9821522905,0.2694005052
182.64,6,2.744949495,2.190460115,0.08989202519,0.8095626665,0.1860169958,0.00511947736,0.08695215109,0.9821522902,0.2694084441
182.64,6,2.792929293,2.190458683,0.0898919177,0.8095629415,0.1860170403,0.005119487942,0.08695215109,0.9821522898,0.2694165281
182.64,6,2.840909091,2.190457311,0.08989180869,0.8095632175,0.1860170848,0.005119498583,0.0869521511,0.9821522895,0.2694247569
182.64,6,2.888888889,2.190455996,0.08989169815,0.8095634945,0.1860171293,0.005119509272,0.08695215111,0.9821522891,0.2694331296
182.64,6,2.936868687,2.190454737,0.08989158609,0.809563772,0.1860171737,0.005119520002,0.08695215113,0.9821522888,0.2694416456
182.64,6,2.984848485,2.190453531,0.08989147251,0.8095640498,0.1860172179,0.005119530762,0.08695215115,0.9821522885,0.269450304
182.64,6,3.032828283,2.190452375,0.08989135742,0.8095643276,0.186017262,0.005119541544,0.08695215119,0.9821522882,0.2694591036
182.64,6,3.080808081,2.190451268,0.08989124082,0.8095646053,0.1860173058,0.005119552336,0.08695215122,0.982152288,0.2694680432
182.64,6,3.128787879,2.190450207,0.08989112272,0.8095648824,0.1860173493,0.005119563129,0.08695215126,0.9821522877,0.2694771214
182.64,6,3.176767677,2.190449191,0.08989100315,0.8095651587,0.1860173926,0.005119573913,0.08695215131,0.9821522874,0.2694863364
182.64,6,3.224747475,2.190448217,0.08989088211,0.8095654339,0.1860174354,0.005119584678,0.08695215136,0.9821522872,0.2694956863
182.64,6,3.272727273,2.190447286,0.08989075964,0.8095657077,0.1860174779,0.005119595412,0.08695215142,0.9821522869,0.269505169
182.64,6,3.320707071,2.190446394,0.08989063576,0.8095659799,0.1860175198,0.005119606105,0.08695215148,0.9821522867,0.2695147819
182.64,6,3.368686869,2.19044554,0.08989051053,0.80956625,0.1860175613,0.005119616745,0.08695215154,0.9821522865,0.2695245222
182.64,6,3.416666667,2.190444724,0.08989038397,0.8095665179,0.1860176021,0.005119627323,0.08695215161,0.9821522863,0.2695343866
182.64,6,3.464646465,2.190443943,0.08989025617,0.8095667831,0.1860176424,0.005119637825,0.08695215169,0.9821522861,0.2695443718
182.64,6,3.512626263,2.190443197,0.08989012718,0.8095670454,0.186017682,0.005119648241,0.08695215177,0.9821522859,0.2695544736
182.64,6,3.560606061,2.190442485,0.08988999711,0.8095673044,0.1860177208,0.005119658558,0.08695215185,0.9821522857,0.2695646875
182.64,6,3.608585859,2.190441805,0.08988986606,0.8095675598,0.1860177589,0.005119668764,0.08695215194,0.9821522855,0.2695750087
182.64,6,3.656565657,2.190441157,0.08988973415,0.8095678113,0.1860177962,0.005119678848,0.08695215203,0.9821522853,0.2695854315
182.64,6,3.704545455,2.190440539,0.08988960154,0.8095680586,0.1860178327,0.005119688795,0.08695215212,0.9821522851,0.2695959499
182.64,6,3.752525253,2.190439951,0.0898894684,0.8095683013,0.1860178682,0.005119698595,0.08695215222,0.982152285,0.269606557
182.64,6,3.800505051,2.190439392,0.08988933494,0.809568539,0.1860179028,0.005119708232,0.08695215232,0.9821522848,0.2696172454
182.64,6,3.848484848,2.19043886,0.08988920137,0.8095687715,0.1860179364,0.005119717695,0.08695215243,0.9821522847,0.2696280066
182.64,6,3.896464646,2.190438356,0.08988906797,0.8095689984,0.1860179689,0.00511972697,0.08695215254,0.9821522845,0.2696388315
182.64,6,3.944444444,2.190437878,0.08988893503,0.8095692193,0.1860180004,0.005119736042,0.08695215265,0.9821522844,0.2696497101
182.64,6,3.992424242,2.190437427,0.08988880288,0.8095694338,0.1860180307,0.005119744898,0.08695215277,0.9821522843,0.2696606312
182.64,6,4.04040404,2.190437,0.08988867188,0.8095696417,0.1860180599,0.005119753524,0.08695215288,0.9821522842,0.2696715826
182.64,6,4.088383838,2.190436598,0.08988854244,0.8095698426,0.1860180879,0.005119761903,0.086952153,0.982152284,0.2696825508
182.64,6,4.136363636,2.19043622,0.08988841498,0.809570036,0.1860181146,0.005119770023,0.08695215312,0.9821522839,0.2696935213
182.64,6,4.184343434,2.190435866,0.08988828996,0.8095702217,0.1860181401,0.005119777866,0.08695215324,0.9821522838,0.2697044778
182.64,6,4.232323232,2.190435534,0.08988816789,0.8095703992,0.1860181643,0.005119785418,0.08695215337,0.9821522837,0.2697154028
182.64,6,4.28030303,2.190435225,0.08988804929,0.8095705683,0.1860181872,0.005119792661,0.08695215349,0.9821522837,0.2697262768
182.64,6,4.328282828,2.190434938,0.08988793468,0.8095707285,0.1860182087,0.005119799581,0.08695215361,0.9821522836,0.2697370787
182.64,6,4.376262626,2.190434673,0.08988782462,0.8095708795,0.1860182288,0.005119806159,0.08695215373,0.9821522835,0.2697477854
